id,category,template,prompt,city,slot_name,slot_value,standard_id,standard_name,standard_basis,post_collection_filter
P001,商品,给我推荐五款{{产品}},给我推荐五款大米,,产品,大米,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P002,商品,给我推荐五款{{产品}},给我推荐五款杂粮,,产品,杂粮,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P003,商品,给我推荐五款{{产品}},给我推荐五款食用油,,产品,食用油,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P004,商品,给我推荐五款{{产品}},给我推荐五款酱油,,产品,酱油,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P005,商品,给我推荐五款{{产品}},给我推荐五款食醋,,产品,食醋,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P006,商品,给我推荐五款{{产品}},给我推荐五款速溶咖啡,,产品,速溶咖啡,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P007,商品,给我推荐五款{{产品}},给我推荐五款挂耳咖啡,,产品,挂耳咖啡,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P008,商品,给我推荐五款{{产品}},给我推荐五款茶叶,,产品,茶叶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P009,商品,给我推荐五款{{产品}},给我推荐五款牛奶,,产品,牛奶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P010,商品,给我推荐五款{{产品}},给我推荐五款酸奶,,产品,酸奶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P011,商品,给我推荐五款{{产品}},给我推荐五款婴幼儿奶粉,,产品,婴幼儿奶粉,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P012,商品,给我推荐五款{{产品}},给我推荐五款蛋白粉,,产品,蛋白粉,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P013,商品,给我推荐五款{{产品}},给我推荐五款燕麦片,,产品,燕麦片,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P014,商品,给我推荐五款{{产品}},给我推荐五款全麦面包,,产品,全麦面包,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P015,商品,给我推荐五款{{产品}},给我推荐五款速冻水饺,,产品,速冻水饺,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P016,商品,给我推荐五款{{产品}},给我推荐五款即食鸡胸肉,,产品,即食鸡胸肉,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P017,商品,给我推荐五款{{产品}},给我推荐五款坚果礼盒,,产品,坚果礼盒,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P018,商品,给我推荐五款{{产品}},给我推荐五款巧克力,,产品,巧克力,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P019,商品,给我推荐五款{{产品}},给我推荐五款饮用水,,产品,饮用水,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P020,商品,给我推荐五款{{产品}},给我推荐五款气泡水,,产品,气泡水,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P021,商品,给我推荐五款{{产品}},给我推荐五款果汁,,产品,果汁,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P022,商品,给我推荐五款{{产品}},给我推荐五款无糖饮料,,产品,无糖饮料,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P023,商品,给我推荐五款{{产品}},给我推荐五款代餐奶昔,,产品,代餐奶昔,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P024,商品,给我推荐五款{{产品}},给我推荐五款火锅底料,,产品,火锅底料,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P025,商品,给我推荐五款{{产品}},给我推荐五款预制菜,,产品,预制菜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-食品饮料类,采集后剔除英文流和视频流；题面不添加排除词
P026,商品,给我推荐五款{{产品}},给我推荐五款洗发水,,产品,洗发水,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P027,商品,给我推荐五款{{产品}},给我推荐五款护发素,,产品,护发素,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P028,商品,给我推荐五款{{产品}},给我推荐五款沐浴露,,产品,沐浴露,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P029,商品,给我推荐五款{{产品}},给我推荐五款牙膏,,产品,牙膏,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P030,商品,给我推荐五款{{产品}},给我推荐五款电动牙刷,,产品,电动牙刷,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P031,商品,给我推荐五款{{产品}},给我推荐五款洁面乳,,产品,洁面乳,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P032,商品,给我推荐五款{{产品}},给我推荐五款面霜,,产品,面霜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P033,商品,给我推荐五款{{产品}},给我推荐五款防晒霜,,产品,防晒霜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P034,商品,给我推荐五款{{产品}},给我推荐五款精华液,,产品,精华液,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P035,商品,给我推荐五款{{产品}},给我推荐五款身体乳,,产品,身体乳,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P036,商品,给我推荐五款{{产品}},给我推荐五款洗衣液,,产品,洗衣液,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P037,商品,给我推荐五款{{产品}},给我推荐五款洗衣凝珠,,产品,洗衣凝珠,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P038,商品,给我推荐五款{{产品}},给我推荐五款洗洁精,,产品,洗洁精,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P039,商品,给我推荐五款{{产品}},给我推荐五款消毒湿巾,,产品,消毒湿巾,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P040,商品,给我推荐五款{{产品}},给我推荐五款纸尿裤,,产品,纸尿裤,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P041,商品,给我推荐五款{{产品}},给我推荐五款婴儿湿巾,,产品,婴儿湿巾,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P042,商品,给我推荐五款{{产品}},给我推荐五款婴儿推车,,产品,婴儿推车,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P043,商品,给我推荐五款{{产品}},给我推荐五款儿童安全座椅,,产品,儿童安全座椅,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P044,商品,给我推荐五款{{产品}},给我推荐五款奶瓶,,产品,奶瓶,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P045,商品,给我推荐五款{{产品}},给我推荐五款吸奶器,,产品,吸奶器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P046,商品,给我推荐五款{{产品}},给我推荐五款理发器,,产品,理发器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P047,商品,给我推荐五款{{产品}},给我推荐五款剃须刀,,产品,剃须刀,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P048,商品,给我推荐五款{{产品}},给我推荐五款卫生巾,,产品,卫生巾,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P049,商品,给我推荐五款{{产品}},给我推荐五款护手霜,,产品,护手霜,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P050,商品,给我推荐五款{{产品}},给我推荐五款驱蚊液,,产品,驱蚊液,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-个护日化与母婴用品类,采集后剔除英文流和视频流；题面不添加排除词
P051,商品,给我推荐五款{{产品}},给我推荐五款空调,,产品,空调,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-家用电器类,采集后剔除英文流和视频流；题面不添加排除词
