id,category,template,prompt,city,slot_name,slot_value,standard_id,standard_name,standard_basis,selection_basis,post_collection_filter
P001,商品,给我推荐五款{{产品}},给我推荐五款旗舰手机,,产品,旗舰手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P002,商品,给我推荐五款{{产品}},给我推荐五款折叠屏手机,,产品,折叠屏手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P003,商品,给我推荐五款{{产品}},给我推荐五款拍照手机,,产品,拍照手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P004,商品,给我推荐五款{{产品}},给我推荐五款游戏手机,,产品,游戏手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P005,商品,给我推荐五款{{产品}},给我推荐五款千元智能手机,,产品,千元智能手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P006,商品,给我推荐五款{{产品}},给我推荐五款老年智能手机,,产品,老年智能手机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P007,商品,给我推荐五款{{产品}},给我推荐五款儿童电话手表,,产品,儿童电话手表,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P008,商品,给我推荐五款{{产品}},给我推荐五款智能手表,,产品,智能手表,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P009,商品,给我推荐五款{{产品}},给我推荐五款运动手表,,产品,运动手表,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P010,商品,给我推荐五款{{产品}},给我推荐五款平板电脑,,产品,平板电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P011,商品,给我推荐五款{{产品}},给我推荐五款学习平板,,产品,学习平板,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P012,商品,给我推荐五款{{产品}},给我推荐五款电子阅读器,,产品,电子阅读器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P013,商品,给我推荐五款{{产品}},给我推荐五款蓝牙耳机,,产品,蓝牙耳机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P014,商品,给我推荐五款{{产品}},给我推荐五款降噪耳机,,产品,降噪耳机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P015,商品,给我推荐五款{{产品}},给我推荐五款开放式耳机,,产品,开放式耳机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P016,商品,给我推荐五款{{产品}},给我推荐五款智能音箱,,产品,智能音箱,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P017,商品,给我推荐五款{{产品}},给我推荐五款手机云台稳定器,,产品,手机云台稳定器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P018,商品,给我推荐五款{{产品}},给我推荐五款移动电源,,产品,移动电源,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P019,商品,给我推荐五款{{产品}},给我推荐五款快充充电器,,产品,快充充电器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P020,商品,给我推荐五款{{产品}},给我推荐五款消费级无人机,,产品,消费级无人机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-手机与移动智能终端类,行业规模大；品牌集中度高；核心参数和售后差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P021,商品,给我推荐五款{{产品}},给我推荐五款轻薄笔记本电脑,,产品,轻薄笔记本电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P022,商品,给我推荐五款{{产品}},给我推荐五款游戏笔记本电脑,,产品,游戏笔记本电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P023,商品,给我推荐五款{{产品}},给我推荐五款商务笔记本电脑,,产品,商务笔记本电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P024,商品,给我推荐五款{{产品}},给我推荐五款台式电脑,,产品,台式电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P025,商品,给我推荐五款{{产品}},给我推荐五款一体机电脑,,产品,一体机电脑,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P026,商品,给我推荐五款{{产品}},给我推荐五款迷你主机,,产品,迷你主机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P027,商品,给我推荐五款{{产品}},给我推荐五款办公显示器,,产品,办公显示器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P028,商品,给我推荐五款{{产品}},给我推荐五款4K显示器,,产品,4K显示器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P029,商品,给我推荐五款{{产品}},给我推荐五款电竞显示器,,产品,电竞显示器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P030,商品,给我推荐五款{{产品}},给我推荐五款机械键盘,,产品,机械键盘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P031,商品,给我推荐五款{{产品}},给我推荐五款办公打印机,,产品,办公打印机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P032,商品,给我推荐五款{{产品}},给我推荐五款家用打印机,,产品,家用打印机,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P033,商品,给我推荐五款{{产品}},给我推荐五款NAS存储,,产品,NAS存储,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P034,商品,给我推荐五款{{产品}},给我推荐五款移动固态硬盘,,产品,移动固态硬盘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P035,商品,给我推荐五款{{产品}},给我推荐五款固态硬盘,,产品,固态硬盘,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P036,商品,给我推荐五款{{产品}},给我推荐五款家用路由器,,产品,家用路由器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P037,商品,给我推荐五款{{产品}},给我推荐五款Mesh路由器,,产品,Mesh路由器,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P038,商品,给我推荐五款{{产品}},给我推荐五款家用摄像头,,产品,家用摄像头,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
P039,商品,给我推荐五款{{产品}},给我推荐五款会议摄像头,,产品,会议摄像头,GB/T 7635.1-2002,全国主要产品分类与代码 第1部分:可运输产品,可运输产品-计算机与办公电子类,单价和使用周期较高；品牌、性能、可靠性差异明显,采集后剔除英文流和视频流；本阶段不做题单去重；题面不添加排除词
